error,favorite_count,id,media_type,media_url,retweet_count
,2490.0,696894894812565505,photo,https://pbs.twimg.com/media/CaveNQcVIAECyBr.jpg,732.0
,5126.0,696886256886657024,photo,https://pbs.twimg.com/media/CavWWdFWAAArflW.jpg,1935.0
,2585.0,696877980375769088,photo,https://pbs.twimg.com/media/CavO0uuWEAE96Ed.jpg,768.0
,1563.0,696754882863349760,photo,https://pbs.twimg.com/media/Cate3eLUcAEIuph.jpg,386.0
,2200.0,696744641916489729,,,1020.0
,2524.0,696713835009417216,photo,https://pbs.twimg.com/media/Cas5h-wWcAA3nAc.jpg,700.0
,4129.0,696518437233913856,,,1831.0
,1293.0,696490539101908992,,,159.0
,2690.0,696488710901260288,photo,https://pbs.twimg.com/media/CapsyfkWcAQ41uC.jpg,1119.0
,3404.0,696405997980676096,photo,https://pbs.twimg.com/media/Caohi_hWcAAQCni.jpg,1231.0
,2050.0,696100768806522880,,,717.0
,3183.0,695816827381944320,photo,https://pbs.twimg.com/media/CagJtjYW8AADoHu.jpg,1270.0
,3377.0,695794761660297217,photo,https://pbs.twimg.com/media/Caf1pQxWIAEme3q.jpg,848.0
,1982.0,695767669421768709,photo,https://pbs.twimg.com/media/CafdAWCW0AE3Igl.jpg,804.0
,4846.0,695629776980148225,photo,https://pbs.twimg.com/media/Cadfl6zWcAEZqIW.jpg,2271.0
,4624.0,695446424020918272,photo,https://pbs.twimg.com/media/Caa407jWwAAJPH3.jpg,1956.0
,9139.0,695409464418041856,photo,https://pbs.twimg.com/media/CaaXN5LUYAEzAh-.jpg,3855.0
,3865.0,695314793360662529,photo,https://pbs.twimg.com/media/CaZBErtWEAEI1aC.jpg,1592.0
,2799.0,695095422348574720,photo,https://pbs.twimg.com/media/CaV5mRDXEAAR8iG.jpg,665.0
,3015.0,695074328191332352,photo,https://pbs.twimg.com/media/CaVmajOWYAA1uNG.jpg,1193.0
,1710.0,695064344191721472,photo,https://pbs.twimg.com/ext_tw_video_thumb/695064251149508610/pu/img/0OPED0aUurb9Z16a.jpg,652.0
,2827.0,695051054296211456,photo,https://pbs.twimg.com/media/CaVRP4GWwAERC0v.jpg,851.0
,2857.0,694925794720792577,,,986.0
,2926.0,694905863685980160,photo,https://pbs.twimg.com/media/CaTNMUgUYAAB6vs.jpg,1011.0
,37868.0,694669722378485760,photo,https://pbs.twimg.com/media/CaP2bS3WQAAQWSM.jpg,15635.0
,1596.0,694356675654983680,photo,https://pbs.twimg.com/media/CaLZtmsWQAApbFw.jpg,313.0
,2158.0,694352839993344000,photo,https://pbs.twimg.com/media/CaLWOPfW0AEv4JF.jpg,671.0
,1672.0,694342028726001664,,,528.0
,2130.0,694329668942569472,photo,https://pbs.twimg.com/media/CaLBJmOWYAQt44t.jpg,542.0
,4444.0,694206574471057408,photo,https://pbs.twimg.com/media/CaJRMPQWIAA1zL9.jpg,2197.0
,3119.0,694183373896572928,photo,https://pbs.twimg.com/media/CaI8Fn0WAAIrFJN.jpg,1004.0
,3594.0,694001791655137281,photo,https://pbs.twimg.com/media/CaGW8JQUMAEVtLl.jpg,1118.0
,1983.0,693993230313091072,,,437.0
